2019-06-06 19:57:36,620 - INFO - 请检查是否启动appium
2019-06-06 19:57:36,620 - INFO - 重试第1次
2019-06-06 19:57:46,849 - INFO - 请检查是否启动appium
2019-06-06 19:57:46,849 - INFO - 重试第2次
2019-06-06 19:57:56,878 - INFO - 请检查是否启动appium
2019-06-06 19:57:56,878 - INFO - 重试第3次
2019-06-06 19:58:06,914 - INFO - 请检查是否启动appium
2019-06-06 19:58:06,915 - INFO - 结束成功
2019-06-06 19:58:06,915 - INFO - -----------------False,3
2019-06-06 19:58:06,915 - INFO - 执行结果：FAIL,'str' object has no attribute 'get_window_size'
2019-06-06 19:58:06,915 - INFO - 执行结果：FAIL,'str' object has no attribute 'get_window_size'
2019-06-06 19:58:06,916 - INFO - 执行结果：FAIL,'str' object has no attribute 'get_window_size'
2019-06-06 19:58:06,916 - INFO - 执行结果：PASS,left:3
2019-06-06 19:58:06,916 - INFO - -----------------False,3
2019-06-06 19:58:06,917 - INFO - 执行结果：FAIL,'str' object has no attribute 'get_window_size'
2019-06-06 19:58:06,917 - INFO - 执行结果：PASS,right:1
2019-06-06 19:58:06,917 - INFO - -----------------False,3
2019-06-06 19:58:06,917 - INFO - 执行结果：FAIL,'str' object has no attribute 'get_window_size'
2019-06-06 19:58:06,917 - INFO - 执行结果：PASS,left:1
2019-06-06 19:58:06,917 - INFO - -----------------False,3
2019-06-06 19:58:06,918 - INFO - 执行结果：FAIL,'str' object has no attribute 'get_window_size'
2019-06-06 19:58:06,918 - INFO - 执行结果：PASS,up:1
2019-06-06 19:58:06,918 - INFO - -----------------False,3
